candidate_id,candidate_ddd_mobile,candidate_pcd,candidate_certifications,candidate_academic_level,candidate_english_level,candidate_spanish_level
10392,11,,0,,,
10393,11,,0,,,
10394,21,,0,,,
10395,11,,0,,,
10396,51,,0,,,
10397,11,,0,,,
10398,11,,0,,,
10399,11,,0,,,
104,11,,0,Pós Graduação Completo,,
1040,11,,0,,,
10400,11,,0,,,
10401,19,,0,,,
10402,19,,0,,,
10403,11,,0,,,
10404,11,,0,,,
10405,21,,0,,,
10406,11,,0,,,
10407,11,,0,,,
10408,32,,0,,,
10409,11,,0,,,
1041,11,,0,,,
10410,11,,0,,,
10411,19,,0,,,
10412,19,,0,,,
10413,19,,0,,,
10414,19,,0,,,
10415,11,,0,,,
10416,19,,0,,,
10417,11,,0,,,
10418,19,,0,,,
10419,11,,0,,,
1042,19,,0,,,
10420,11,,0,,,
10421,11,,0,,,
10422,12,,0,,,
10423,11,,0,,,
10424,11,,0,,,
10425,11,,0,,,
10426,19,,0,,,
10427,11,,0,,,
10428,11,,0,,,
10429,11,,0,,,
1043,11,,0,,,
10430,19,,0,,,
10431,12,,0,,,
10432,11,,0,,,
10433,19,,0,,,
10434,11,,0,,,
10435,11,,0,,,
10436,11,,0,,,
10437,21,,0,,,
10438,11,,0,,,
10439,11,,0,,,
1044,11,,0,,,
10440,11,,0,,,
10441,11,,0,,,
10442,11,,0,,,
10443,11,,0,,,
10444,11,,0,,,
10445,11,,0,,,
10446,11,,0,,,
10447,11,,0,,,
10448,11,,0,,,
10449,11,,0,,,
1045,21,,0,,,
10450,11,,0,,,
10451,19,,0,,,
10452,11,,0,,,
10453,11,,0,,,
10454,81,,0,,,
10455,11,,0,,,
10456,11,,0,,,
10457,11,,0,,,
10458,11,,0,,,
10459,11,,0,,,
1046,11,,0,,,
10460,11,,0,,,
10461,11,,0,,,
10462,11,,0,,,
10463,11,,0,,,
10464,11,,0,,,
10465,11,,0,,,
10466,21,,0,,,
10467,11,,0,,,
10468,11,,0,,,
10469,13,,0,,,
1047,11,,0,,,
10470,11,,0,,,
10471,11,,0,,,
10472,11,,0,,,
10473,11,,0,,,
10474,11,,0,,,
10475,11,,0,,,
10476,11,,0,,,
10477,11,,0,,,
10478,91,,0,,,
10479,11,,0,,,
1048,11,,0,,,
10480,11,,0,,,
10481,11,,0,,,
10482,11,,0,,,
10483,11,,0,,,
10484,11,,0,,,
10485,11,,0,,,
10486,11,,0,,,
10487,11,,0,,,
10488,11,,0,,,
10489,11,,0,,,
1049,11,,0,,,
10490,11,,0,,,
10491,11,,0,,,
10492,11,,0,,,
10493,11,,0,,,
10494,21,,0,,,
10495,11,,0,,,
10496,15,,0,,,
10497,11,,0,,,
10498,12,,0,,,
10499,11,,0,,,
105,11,,0,Pós Graduação Completo,,
1050,11,,0,,,
10500,11,,0,,,
10501,11,,0,,,
10502,11,,0,,,
10503,11,,0,,,
10504,11,,0,,,
10505,21,,0,,,
10506,13,,0,,,
10507,11,,0,,,
10508,11,,0,,,
10509,11,,0,,,
1051,11,,0,,,
10510,11,,0,,,
10511,11,,0,,,
10512,11,,0,,,
10513,11,,0,,,
10514,11,,0,,,
10515,19,,0,,,
10516,19,,0,,,
10517,19,,0,,,
